symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1DIV,ThaiDEX SET High Dividend ETF,SET,Miscellaneous,Investment Trusts/Mutual Funds,14.13,14.19,14.1,14.13,-0.14134275618374256,,41841,THB
1I01BSET50,BCAP Set 50 Daily Invest ETF (-1X) Exchange Traded Fund Units,SET,Miscellaneous,Investment Trusts/Mutual Funds,3.4,3.4,3.39,3.4,-0.5847953216374274,,600,THB
2I01BSET50,BCAP Set 50 Daily Inverse ETF (-2X) Exchange Traded Fund Units,SET,Miscellaneous,Investment Trusts/Mutual Funds,2.31,2.33,2.31,2.33,0.43103448275863065,,41800,THB
2S,2S Metal Public Co. Ltd.,SET,Non-Energy Minerals,Steel,4.68,4.72,4.26,4.34,-8.438818565400851,2386995316.0,3452484,THB
2S.R,2S Metal Public Co. Ltd. NVDR,SET,Non-Energy Minerals,Steel,4.68,4.72,4.26,4.34,-8.438818565400851,2386995316.0,3452300,THB
2X01BSET50,BCAP Set 50 Daily Leveraged ETF (2X) Exchange Traded Fund Units,SET,Miscellaneous,Investment Trusts/Mutual Funds,8.62,8.62,8.54,8.56,-0.8111239860950206,,38100,THB
3BBIF,3BB Internet Infrastructure Fund Units,SET,Miscellaneous,Investment Trusts/Mutual Funds,6.6,6.6,6.55,6.55,0.0,52400000000.0,4278729,THB
88TH,88(Thailand) Public Company Limited,SET,Consumer Non-Durables,Household/Personal Care,3.92,3.96,3.88,3.9,-0.5102040816326535,828750000.0,701229,THB
88TH.R,88(Thailand) Public Company Limited NVDR,SET,Consumer Non-Durables,Household/Personal Care,3.92,3.96,3.88,3.9,-0.5102040816326535,,701100,THB
A,Areeya Property Public Co. Ltd.,SET,Finance,Real Estate Development,2.76,2.76,2.76,2.76,-0.7194244604316554,2704799991.0,100,THB
A.R,Areeya Property Public Co. Ltd. NVDR,SET,Finance,Real Estate Development,2.76,2.76,2.76,2.76,-0.7194244604316554,2704799991.0,100,THB
A5,"Asset Five Group Public Co., Ltd.",SET,Finance,Real Estate Development,1.79,1.8,1.75,1.79,0.5617977528089892,2164798684.0,132404,THB
A5.R,"Asset Five Group Public Co., Ltd. NVDR",SET,Finance,Real Estate Development,1.79,1.8,1.75,1.79,0.5617977528089892,2164798684.0,132300,THB
AAI,Asian Alliance International Public Company Limited,SET,Consumer Non-Durables,Food: Specialty/Candy,4.12,4.14,4.06,4.08,-0.9708737864077678,8669999838.0,3130079,THB
AAI.R,Asian Alliance International Public Company Limited NVDR,SET,Consumer Non-Durables,Food: Specialty/Candy,4.12,4.14,4.06,4.08,-0.9708737864077678,8669999838.0,3129800,THB
AAOI03,"Applied Optoelectronics, Inc. Shs Thailand Depositary Receipts Repr 1 Sh",SET,Electronic Technology,Semiconductors,1.47,1.63,1.4,1.43,-8.917197452229306,376788913034.82587,6794137,THB
AAPL01,Apple Inc. Units Thailand Depositery Receipts Repr 0.01 Sh,SET,Electronic Technology,Telecommunications Equipment,30.0,30.25,29.75,30.25,0.0,147592417312139.3,34108,THB
AAPL03,Apple Inc. Units Thailand Depositery Receipts Repr 0.01 Sh,SET,Electronic Technology,Telecommunications Equipment,3.38,3.44,3.36,3.42,-1.1560693641618507,147592417312139.3,223336,THB
AAPL19,Apple Inc. Units Thailand Depositery Receipts Repr 0.01 Sh,SET,Electronic Technology,Telecommunications Equipment,6.85,6.85,6.75,6.8,-1.4492753623188481,147592417312139.3,7003,THB
AAPL80,Apple Inc. Units Thailand Depository Receipt Repr 0.001 Sh,SET,Electronic Technology,Telecommunications Equipment,10.2,10.3,10.0,10.3,0.0,147592417312139.3,1994815,THB
AAV,"Asia Aviation Public Co., Ltd.",SET,Transportation,Airlines,1.05,1.06,1.04,1.05,0.0,13492499387.0,25086677,THB
AAV.R,"Asia Aviation Public Co., Ltd. NVDR",SET,Transportation,Airlines,1.05,1.06,1.04,1.05,0.0,13492499387.0,25086200,THB
ABBV19,"AbbVie, Inc. Units Thailand Depositery Receipts Repr 0.01 Sh",SET,Health Technology,Pharmaceuticals: Major,8.15,8.2,8.1,8.2,0.6134969325153243,14657988772106.137,32594,THB
